= 

= 

= unknown

         81900 function calls (78786 primitive calls) in 20.233 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amin)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   861/50    0.001    0.000    0.202    0.004 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      480    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      173    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      480    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      307    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    253/5    0.000    0.000    0.219    0.044 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1643    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      282    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      383    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      166    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  166/163    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    166/4    0.001    0.000    0.223    0.056 <frozen importlib._bootstrap>:663(_load_unlocked)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      480    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      170    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    173/4    0.001    0.000    0.223    0.056 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    173/4    0.001    0.000    0.224    0.056 <frozen importlib._bootstrap>:978(_find_and_load)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       22    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    22/17    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:105(_write_atomic)
       14    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      359    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      156    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      156    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      310    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      260    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      310    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      152    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:381(_calc_mode)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:46(_w_long)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      129    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:536(_code_to_timestamp_pyc)
     1483    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1483    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    130/4    0.001    0.000    0.223    0.056 <frozen importlib._bootstrap_external>:722(exec_module)
      634    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:785(source_to_code)
      130    0.002    0.000    0.076    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      193    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      131    0.041    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      178    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      130    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:961(set_data)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 Nogo.py:10(__init__)
        1    0.000    0.000   20.015   20.015 Nogo.py:23(run)
        1    0.000    0.000   20.234   20.234 Nogo.py:5(<module>)
        1    0.000    0.000    0.000    0.000 Nogo.py:9(Nogo)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        2    0.000    0.000    0.005    0.003 __init__.py:1(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:10(<module>)
        1    0.000    0.000    0.196    0.196 __init__.py:106(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:124(<module>)
        1    0.000    0.000    0.058    0.058 __init__.py:13(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        2    0.000    0.000    0.016    0.008 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        1    0.000    0.000    0.003    0.003 __init__.py:192(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
